,description,title,level,text
0,outfitter is europe biggest personal shopping service and we have clear mission we build the future of menswear shopping our goal is to make men happy are you interested in building products used by hundreds of thou send of people do you like delivering code at rapid pace outfitter is seeking an experienced frontend engineer that is passionate about building mobile and desktop web applications this position is full time and is based in our berlin office your responsibilities implement the features and user interfaces of outfitter products like the outfit recommend er architect efficient and reusable front end systems that drive complex web applications collaborate with product designers product managers and software engineers to deliver compelling user facing products identify and resolve performance and cal ability issues your profile three years of javascript experience including concepts like asynchro us programming closures types and es six experience with angular ext js react is plus three years of html css experience including concepts like layout specificity cross browser compatibility and accessibility three years experience with browser apis and optimizing front end performance bs ms in computer science or related technical field is plus effective oral and written english communication skills you are ready to live in berlin germany we offer an exciting workplace in motivated team with low hierarchies dynamic company with short and efficient decision making processes air love life and work in the berlin startup scene intrigued then send us your application with your salary expectations and possible starting date your contact person is iris hay,frontend engineer ,0,frontend engineer  outfitter is europe biggest personal shopping service and we have clear mission we build the future of menswear shopping our goal is to make men happy are you interested in building products used by hundreds of thou send of people do you like delivering code at rapid pace outfitter is seeking an experienced frontend engineer that is passionate about building mobile and desktop web applications this position is full time and is based in our berlin office your responsibilities implement the features and user interfaces of outfitter products like the outfit recommend er architect efficient and reusable front end systems that drive complex web applications collaborate with product designers product managers and software engineers to deliver compelling user facing products identify and resolve performance and cal ability issues your profile three years of javascript experience including concepts like asynchro us programming closures types and es six experience with angular ext js react is plus three years of html css experience including concepts like layout specificity cross browser compatibility and accessibility three years experience with browser apis and optimizing front end performance bs ms in computer science or related technical field is plus effective oral and written english communication skills you are ready to live in berlin germany we offer an exciting workplace in motivated team with low hierarchies dynamic company with short and efficient decision making processes air love life and work in the berlin startup scene intrigued then send us your application with your salary expectations and possible starting date your contact person is iris hay
1,outfitter is europe biggest personal shopping service and we have clear mission we build the future of menswear shopping our goal is to make men happy you want to have lot of freedom and deep insights as well as personal responsibility you want to get to various personalities in great international team then become part of our team as senior product manager and support our company on the way to even greater success your tasks your main responsibility is for all product work in finance and operations with additional responsibility for sales processes you manage and lead development of rock solid solutions in these areas but also bring creativity to solving the challenges presented by our traditional commerce funnel you develop simple intuitive interfaces to complex operational systems both for customer facing features and for internal tools as such you are able and willing to help out as needed in other areas frontend features requiring more explicit customer focus your profile you have proven track record as product manager you have experience connecting external providers in fields like warehousing and risk check technical background is plus but mainly you are tenacious in grappling with problem until you understand all its logical implications you are able to express what is happening in complex system using data graphics metaphor whatever is necessary to make an informed decision together with your stakeholders you have passion for well functioning processes and for communicating these clearly wledge of bpm is plus you value transparency and have knack for making even incremental progress tangible to stakeholders you are unfailingly calm we offer high level of personal responsibility and great deal of creative freedom an exciting workplace in motivated team with flat hierarchies dynamic company with short and efficient decision making processes air love life and work in the berlin startup scene intrigued then send us your application with your salary expectations and possible starting date your contact person is iris hay,senior product manager ,3,senior product manager  outfitter is europe biggest personal shopping service and we have clear mission we build the future of menswear shopping our goal is to make men happy you want to have lot of freedom and deep insights as well as personal responsibility you want to get to various personalities in great international team then become part of our team as senior product manager and support our company on the way to even greater success your tasks your main responsibility is for all product work in finance and operations with additional responsibility for sales processes you manage and lead development of rock solid solutions in these areas but also bring creativity to solving the challenges presented by our traditional commerce funnel you develop simple intuitive interfaces to complex operational systems both for customer facing features and for internal tools as such you are able and willing to help out as needed in other areas frontend features requiring more explicit customer focus your profile you have proven track record as product manager you have experience connecting external providers in fields like warehousing and risk check technical background is plus but mainly you are tenacious in grappling with problem until you understand all its logical implications you are able to express what is happening in complex system using data graphics metaphor whatever is necessary to make an informed decision together with your stakeholders you have passion for well functioning processes and for communicating these clearly wledge of bpm is plus you value transparency and have knack for making even incremental progress tangible to stakeholders you are unfailingly calm we offer high level of personal responsibility and great deal of creative freedom an exciting workplace in motivated team with flat hierarchies dynamic company with short and efficient decision making processes air love life and work in the berlin startup scene intrigued then send us your application with your salary expectations and possible starting date your contact person is iris hay
2,pa met is looking for android developer to join us in our belgrade office and work with strong team on mobile projects for large us clients become part of fast growing company and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow,android developer,0,android developer pa met is looking for android developer to join us in our belgrade office and work with strong team on mobile projects for large us clients become part of fast growing company and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow
3,we are looking for development lead with five years of java development experience and one years of project leading experience to join us in our belgrade office the development lead will work closely with senior management and the project team to deliver project on time and on budget but also work on and support requirements clarification acceptance criteria and issue resolution become part of fast growing company and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow,development lead,3,development lead we are looking for development lead with five years of java development experience and one years of project leading experience to join us in our belgrade office the development lead will work closely with senior management and the project team to deliver project on time and on budget but also work on and support requirements clarification acceptance criteria and issue resolution become part of fast growing company and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow
4,pa met is looking for ibm web sphere developer to join us in our belgrade office and work with an strong team on projects for large us clients become part of fast growing team and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow,ibm web sphere portal developer,0,ibm web sphere portal developer pa met is looking for ibm web sphere developer to join us in our belgrade office and work with an strong team on projects for large us clients become part of fast growing team and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow
5,pa met is looking for ios developers to join us in our belgrade office and work with an strong team on mobile projects for large us clients become part of fast growing ios team and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow,ios developer,0,ios developer pa met is looking for ios developers to join us in our belgrade office and work with an strong team on mobile projects for large us clients become part of fast growing ios team and get first hand experience by working in us style company culture for major us clients located in california selected candidates will be offered to advance professional career in san francisco what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow
6,pa met is looking for java developers to join us in our belgrade office and work with extraordinary team on web projects for large us clients become part of strong team and learn from exceptional java developers with over one five years experience in java web application development well established career path with strong training component and dedicated time for self education and self improvement will transparently open you advancement plan in our company what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow,java developer,0,java developer pa met is looking for java developers to join us in our belgrade office and work with extraordinary team on web projects for large us clients become part of strong team and learn from exceptional java developers with over one five years experience in java web application development well established career path with strong training component and dedicated time for self education and self improvement will transparently open you advancement plan in our company what we offer excellent compensation package strong benefits package awesome company culture continuous training program through career path program paid seminars and education in europe and us exciting project work for large us clients experienced team members to work with and grow
7,snap chat is seeking an experienced market research professional based in our venice office in this role you ll design and execute cutting edge research that will directly shape the future of the snap chat experience for users and marketers like what you ll do work cross functionally with different teams at snap chat to identify and execute world class quantitative and qualitative research evaluate proposals from third party research firms and build relationships with research partners responsible for scoping and context gathering when planning new projects evaluating traditional and traditional research methodologies design write and manage surveys with precision and attention to detail ensure flawless execution of all research mapping back to initial scope and internal stakeholders business objectives analyze and interpret data to identify patterns and solutions create detailed visually compelling reports in powerpoint and key te what you ll need three five years market research experience experience in the tech logy or digital media sectors preferred proven ability to excel in fast paced environment work flawlessly under tight deadlines and prioritize across several simultaneous projects strong research background using both quantitative and qualitative methodologies including questionnaire design data analysis and project management exceptional attention to detail with keen eye for presentation design and conveying granular data in digestible way ability to tell story based on research findings experience with advanced analytical techniques conjoint discrete choice segmentation etc preferred experience using progressive qualitative methods eth graph ies online focus groups etc preferred awareness of various research vendors and each vendor core competencies love team snap chat,market researcher,3,market researcher snap chat is seeking an experienced market research professional based in our venice office in this role you ll design and execute cutting edge research that will directly shape the future of the snap chat experience for users and marketers like what you ll do work cross functionally with different teams at snap chat to identify and execute world class quantitative and qualitative research evaluate proposals from third party research firms and build relationships with research partners responsible for scoping and context gathering when planning new projects evaluating traditional and traditional research methodologies design write and manage surveys with precision and attention to detail ensure flawless execution of all research mapping back to initial scope and internal stakeholders business objectives analyze and interpret data to identify patterns and solutions create detailed visually compelling reports in powerpoint and key te what you ll need three five years market research experience experience in the tech logy or digital media sectors preferred proven ability to excel in fast paced environment work flawlessly under tight deadlines and prioritize across several simultaneous projects strong research background using both quantitative and qualitative methodologies including questionnaire design data analysis and project management exceptional attention to detail with keen eye for presentation design and conveying granular data in digestible way ability to tell story based on research findings experience with advanced analytical techniques conjoint discrete choice segmentation etc preferred experience using progressive qualitative methods eth graph ies online focus groups etc preferred awareness of various research vendors and each vendor core competencies love team snap chat
8,in vision is the world leading design collaboration platform we enable companies of all sizes to discover the power of design driven product development that why more than one million designers product managers marketers and other stakeholders at so many of the world is most loved startup agencies corporations use in vision every day including uber ever te twitter adobe sales force and many more we are looking for well rounded senior full stack developer to join the in vision engineering team the ideal candidate will have deep understanding of software architecture and demonstrated skill at coding effectively across multitude of languages the candidate will be responsible for enhancing and extending our service offering while at the same time maintaining performance and robustness the candidate should have an exacting eye for detail and passion for solving complex problems requirements duties and responsibilities enhance and extend our saas architecture design and develop new services and capabilities work with other developers and product designers to brainstorm and test new ideas drive to continuously maintain high product quality and improve the process general qualifications strong problem solving and decision making ability strong software engineering fundamentals unit testing object oriented design functional programming data structures experience designing and deploying applications with javascript and de js experience with rabbit and red is familiarity with uml especially sequence diagrams and activity diagrams preference for working in rapid development cycles two four weeks familiarity with common tools like it jira confluence jenkins ci mongo db experience experience working with react experience with continuous integration continuous delivery environments obsessively thorough with an eye for detail excellent oral and written communications skills experience implementing complex dom operations while maintaining six zero fps experience with animation in the browser wledge of web gl and other rendering contexts benefits highly competitive salary stock options premium health coverage macbook air membership at health club of your choice unlimited books from amazon unlimited starbucks card half day fridays,senior full stack developer remote,3,senior full stack developer remote in vision is the world leading design collaboration platform we enable companies of all sizes to discover the power of design driven product development that why more than one million designers product managers marketers and other stakeholders at so many of the world is most loved startup agencies corporations use in vision every day including uber ever te twitter adobe sales force and many more we are looking for well rounded senior full stack developer to join the in vision engineering team the ideal candidate will have deep understanding of software architecture and demonstrated skill at coding effectively across multitude of languages the candidate will be responsible for enhancing and extending our service offering while at the same time maintaining performance and robustness the candidate should have an exacting eye for detail and passion for solving complex problems requirements duties and responsibilities enhance and extend our saas architecture design and develop new services and capabilities work with other developers and product designers to brainstorm and test new ideas drive to continuously maintain high product quality and improve the process general qualifications strong problem solving and decision making ability strong software engineering fundamentals unit testing object oriented design functional programming data structures experience designing and deploying applications with javascript and de js experience with rabbit and red is familiarity with uml especially sequence diagrams and activity diagrams preference for working in rapid development cycles two four weeks familiarity with common tools like it jira confluence jenkins ci mongo db experience experience working with react experience with continuous integration continuous delivery environments obsessively thorough with an eye for detail excellent oral and written communications skills experience implementing complex dom operations while maintaining six zero fps experience with animation in the browser wledge of web gl and other rendering contexts benefits highly competitive salary stock options premium health coverage macbook air membership at health club of your choice unlimited books from amazon unlimited starbucks card half day fridays
9,in vision is the world leading design collaboration platform we enable companies of all sizes to discover the power of design driven product development that why more than one zero zero zero zero zero zero designers product managers marketers and other stakeholders at so many of the world is most loved startup agencies corporations use in vision every day including uber ever te twitter adobe sales force and many more we re well funded and venture backed by prominent investors including first mark capital tiger global management and acc el partners we are looking for an account executive to accelerate the already rapid growth of our enterprise sales efforts requirements about you three years or more of inside sales experience in two saas vertical proven track record exceeding quota reference able executive level customers at fortune two zero zero zero companies major digital agencies and prominent tech firms ro lode of contacts in leadership roles in design product marketing ux or user research passion enthusiasm energy humor and the ability to convey this through phone and email communications high degree of comfort with outbound calling bias towards immediate action and results willingness to learn and adapt consummate multi tasker who can wear multiple hats passion for design responsibilities passionately evangelize in vision to and develop relationships with sales prospects manage full sales cycle in consultative manner from initial qualification through product demo through follow up calls to closing develop new business opportunities through proactive efforts in addition to handling incoming leads manage against company revenue targets coach team members and accept coaching whenever it is given benefits highly competitive salary stock options premium health coverage macbook pro membership at health club of your choice unlimited books from amazon unlimited starbucks card half day fridays,enterprise account executive remote,3,enterprise account executive remote in vision is the world leading design collaboration platform we enable companies of all sizes to discover the power of design driven product development that why more than one zero zero zero zero zero zero designers product managers marketers and other stakeholders at so many of the world is most loved startup agencies corporations use in vision every day including uber ever te twitter adobe sales force and many more we re well funded and venture backed by prominent investors including first mark capital tiger global management and acc el partners we are looking for an account executive to accelerate the already rapid growth of our enterprise sales efforts requirements about you three years or more of inside sales experience in two saas vertical proven track record exceeding quota reference able executive level customers at fortune two zero zero zero companies major digital agencies and prominent tech firms ro lode of contacts in leadership roles in design product marketing ux or user research passion enthusiasm energy humor and the ability to convey this through phone and email communications high degree of comfort with outbound calling bias towards immediate action and results willingness to learn and adapt consummate multi tasker who can wear multiple hats passion for design responsibilities passionately evangelize in vision to and develop relationships with sales prospects manage full sales cycle in consultative manner from initial qualification through product demo through follow up calls to closing develop new business opportunities through proactive efforts in addition to handling incoming leads manage against company revenue targets coach team members and accept coaching whenever it is given benefits highly competitive salary stock options premium health coverage macbook pro membership at health club of your choice unlimited books from amazon unlimited starbucks card half day fridays
